emp_no,last_name,first_name,hire_date
10001,Facello,Georgi,6/26/86
10003,Bamford,Parto,8/28/86
10004,Koblick,Chirstian,12/1/86
10053,Zschoche,Sanjiv,2/4/86
10066,Schusler,Kwee,2/26/86
10079,Gils,Kshitij,3/27/86
10081,Rosen,Zhongwei,10/30/86
10087,Eugenio,Xinglin,9/8/86
10089,Flasterstein,Sudharsan,8/12/86
10090,Hofting,Kendra,3/14/86
10095,Morton,Hilari,7/15/86
10103,Birch,Akemi,12/2/86
10108,Giveon,Lunjin,10/2/86
10110,Ullian,Xuejia,8/22/86
10115,Rissland,Chikara,1/23/86
10119,Peltason,Domenick,3/14/86
10136,Pintelas,Zissis,2/11/86
10138,Shimshoni,Perry,9/18/86
10147,Encarnacion,Kazuhito,8/21/86
10149,Perry,Xiadong,11/5/86
10150,Perng,Zhenbing,11/16/86
10152,Munro,Jaques,1/27/86
10158,Mitsuhashi,Khedija,1/29/86
10168,Stassinopoulos,Dharmaraja,12/6/86
10170,Jenevein,Kasturi,1/2/86
10178,Litvinov,Valery,10/7/86
10180,Wendorf,Shaw,2/25/86
10185,Sidhu,Duro,3/1/86
10186,Kropatsch,Shigehito,3/28/86
10190,Fairtlough,Arve,6/23/86
10191,Nastansky,Zdislav,4/10/86
10201,Kavraki,Idoia,11/22/86
10204,Ritcey,Nevio,12/4/86
10217,Roison,Yongmin,5/12/86
10222,Nourani,Tze,6/8/86
10225,Chinen,Kellie,6/19/86
10238,Gire,Mototsugu,11/19/86
10257,Riexinger,Aiman,8/5/86
10259,Vesel,Susanna,6/25/86
10268,Siochi,Nishit,12/17/86
10271,Eastman,Sham,5/23/86
10282,Benzmuller,Hercules,6/4/86
10291,Seghrouchni,Dipayan,9/29/86
10297,Oaver,Narain,5/28/86
10302,Baer,Faiza,7/22/86
10312,Deyuan,Rasiah,8/28/86
10314,Apsitis,Christfried,1/16/86
10317,Birge,Arie,12/10/86
10329,Shigei,Remko,1/20/86
10361,Sidou,Seshu,10/23/86
10369,Toyoshima,Qunsheng,5/17/86
10384,Luft,Feiyu,1/16/86
10396,Rahier,Sibyl,1/11/86
10412,Fabrizio,Masoud,5/6/86
10429,Improta,Martien,3/9/86
10435,Tagansky,Marsha,12/19/86
10494,Servieres,Yakkov,1/18/86
10512,Gihr,Udi,1/12/86
10519,Alencar,Yonghoan,3/22/86
10522,Cesareni,Marke,12/12/86
10532,Wossner,Mary,5/18/86
10533,Smailagic,Mohamadou,10/31/86
10541,Eiter,Godehard,2/28/86
10548,Gunderson,Ramalingam,5/4/86
10557,Karlin,Sashi,3/31/86
10564,Thisen,Jianhao,5/8/86
10582,Juneja,Shmuel,6/22/86
10584,Papastamatiou,Mana,2/17/86
10585,Willoner,Sajjad,1/5/86
10590,Kalloufi,Yongqiao,4/9/86
10608,Talmor,Adhemar,5/25/86
10629,Francisci,Lalit,1/30/86
10642,Narlikar,Hirochika,8/6/86
10662,Serra,Arto,9/28/86
10672,Zeilberger,Bluma,7/13/86
10676,Danley,Valeri,3/20/86
10680,Honglei,Kish,6/20/86
10693,Daescu,Berhard,1/8/86
10701,Zolotykh,Hyuncheol,10/27/86
10709,Mateescu,Jiafu,2/2/86
10713,Naumovich,Jagoda,4/26/86
10729,Lorho,Percy,4/20/86
10757,Simkin,Florina,1/6/86
10776,Skafidas,Mahmut,3/16/86
10778,Merey,Selwyn,7/4/86
10807,Zallocco,Munehiro,10/23/86
10819,Sooriamurthi,Pascal,8/2/86
10820,Pena,Baocai,2/23/86
10822,Passino,Masaru,1/11/86
10828,Gammage,Godehard,2/14/86
10832,Bergere,Hidde,10/11/86
10837,Karlin,Chuanti,1/14/86
10842,Sanella,Berni,7/14/86
10847,Danley,Theirry,7/25/86
10856,Peck,Sreenivas,12/31/86
10867,Gyorkos,Billur,10/8/86
10874,Borstler,Mahmut,4/22/86
10877,Biron,Subir,6/6/86
10880,Nitsche,Weiye,4/20/86
10895,Petersohn,Vishwani,4/26/86
10897,Kumaresan,Arno,4/9/86
10898,Markovitch,Munenori,4/10/86
10912,Fasbender,Oscal,4/23/86
10921,Bahi,Mara,7/27/86
10925,Waterhouse,Heng,9/4/86
10952,Bharadwaj,Inderjeet,7/22/86
10955,Danley,Urs,9/27/86
10961,Choobineh,Weiwu,5/14/86
10962,Kugler,Naraig,12/16/86
10965,Braunschweig,Eckart,7/29/86
10975,Birnbaum,Peternela,10/31/86
10979,Raney,Elrique,1/27/86
11005,Douceur,Byong,7/27/86
11009,Axelband,Alper,9/9/86
11010,Narwekar,Jaques,12/18/86
11012,Speckmann,Taegyun,12/28/86
11027,Cappello,Remzi,5/7/86
11028,Krider,Miyeon,6/18/86
11050,Katiyar,Elvis,5/6/86
11054,Krohn,Utpal,7/18/86
11059,Jarecki,Shawna,11/17/86
11073,Clemencon,Yuriy,8/18/86
11085,Thummel,Hailing,11/27/86
11090,Hasenauer,Ebbe,7/25/86
11093,Kitai,Licheng,2/17/86
11096,Zallocco,Shugo,12/12/86
11100,Cochrane,Berna,10/13/86
11136,Luiz,Gladys,2/4/86
11137,Luca,Hugh,7/31/86
11138,Matteis,Adel,10/22/86
11159,Schlenzig,Becky,8/31/86
11180,Bojadziev,Mitsuyuki,6/11/86
11197,Fordan,Tadahiro,4/13/86
11210,Decaestecker,Kamakshi,2/27/86
11226,Akiyama,Margareta,7/13/86
11237,Salinas,Brendon,3/30/86
11252,Dulin,Rutger,1/15/86
11255,Karunanithi,Ortrud,10/8/86
11256,Ratzlaff,Gudjon,9/25/86
11257,Pews,Weidon,12/12/86
11259,Gronowski,Amalendu,12/26/86
11264,Oehlmann,Uma,10/9/86
11278,Juneja,Sumali,4/22/86
11303,Usery,Jaewoo,11/5/86
11305,Schwabacher,Augustine,4/11/86
11307,Dratva,Mohd,3/24/86
11308,Tibblin,Tadahiro,8/7/86
11313,Kusalik,Paraskevi,2/28/86
11318,Unno,Gopalakrishnan,1/25/86
11319,Marrakchi,Pranas,10/3/86
11328,Ferriere,Xiong,8/8/86
11334,Vural,Yurij,10/12/86
11347,Jonsson,Anneli,4/20/86
11353,Berztiss,Utpal,8/25/86
11363,Milicia,Jenwei,3/16/86
11376,Suomi,Valery,3/14/86
11378,Katiyar,Masamitsu,1/3/86
11398,Peir,Oscar,8/23/86
11421,Msuda,Josyula,9/2/86
11429,Kaminger,Nagui,10/16/86
11435,Lichtman,Utpal,10/15/86
11449,Asser,Kotesh,8/27/86
11459,Suomi,Duke,5/3/86
11461,Cronau,Kish,8/19/86
11466,Koshino,Naftali,5/3/86
11473,Eugenio,Jiakeng,11/19/86
11481,Schrooten,Sven,11/3/86
11496,Marakhovsky,Toshimo,4/14/86
11506,Picel,Rance,7/1/86
11513,Mahnke,Otmar,3/27/86
11515,Basawa,Ulf,2/27/86
11517,Raczkowsky,Hatem,10/9/86
11537,Pehl,DAIDA,7/6/86
11545,Lieblein,Bartek,9/19/86
11548,Leuchs,Nahid,5/16/86
11555,Perfilyeva,Kotesh,10/14/86
11569,Geffroy,Kasidit,10/6/86
11571,Takkinen,Jinpo,2/15/86
11576,Demizu,Lakshmi,11/25/86
11583,Domenig,Margo,6/9/86
11588,Panangaden,Kaijung,10/13/86
11591,Lindqvist,Kiyomitsu,1/7/86
11611,Mateescu,Annemarie,12/2/86
11613,Marchesini,Lijia,12/19/86
